v1	V(n002)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
5.000000000000000e-002	5.000000e-002	6.980438e-014
1.000000000000000e-001	1.000000e-001	1.109606e-013
1.500000000000000e-001	1.500000e-001	1.612411e-013
2.000000000000000e-001	2.000000e-001	2.112897e-013
2.500000000000000e-001	2.500000e-001	2.612983e-013
3.000000000000000e-001	3.000000e-001	3.112998e-013
3.500000000000000e-001	3.500000e-001	3.613000e-013
4.000000000000000e-001	4.000000e-001	4.113001e-013
4.500000000000000e-001	4.500000e-001	4.612999e-013
4.999999999999999e-001	5.000000e-001	5.113001e-013
5.499999999999999e-001	5.500000e-001	5.612999e-013
6.000000000000000e-001	6.000000e-001	6.113001e-013
6.500000000000000e-001	6.500000e-001	6.613001e-013
7.000000000000001e-001	7.000000e-001	7.113001e-013
7.500000000000001e-001	7.500000e-001	7.613000e-013
8.000000000000002e-001	8.000000e-001	8.113000e-013
8.500000000000002e-001	8.500000e-001	8.612999e-013
9.000000000000002e-001	9.000000e-001	9.112999e-013
9.500000000000003e-001	9.500000e-001	9.612998e-013
1.000000000000000e+000	1.000000e+000	1.011300e-012
1.050000000000000e+000	1.050000e+000	1.061300e-012
1.100000000000000e+000	1.100000e+000	1.111300e-012
1.150000000000000e+000	1.150000e+000	1.161300e-012
1.200000000000000e+000	1.200000e+000	1.211300e-012
1.250000000000000e+000	1.250000e+000	1.261300e-012
1.300000000000001e+000	1.300000e+000	1.311300e-012
1.350000000000001e+000	1.350000e+000	1.361300e-012
1.400000000000001e+000	1.400000e+000	1.411300e-012
1.450000000000001e+000	1.450000e+000	1.461300e-012
1.500000000000001e+000	1.500000e+000	1.511300e-012
1.550000000000001e+000	1.550000e+000	1.561300e-012
1.600000000000001e+000	1.600000e+000	1.611300e-012
1.650000000000001e+000	1.650000e+000	1.661300e-012
1.700000000000001e+000	1.700000e+000	1.711300e-012
1.750000000000001e+000	1.750000e+000	1.761300e-012
1.800000000000001e+000	1.800000e+000	1.811300e-012
1.850000000000001e+000	1.850000e+000	1.861300e-012
1.900000000000001e+000	1.900000e+000	1.911299e-012
1.950000000000001e+000	1.950000e+000	1.961300e-012
2.000000000000001e+000	2.000000e+000	2.011300e-012
2.050000000000001e+000	2.050000e+000	2.061301e-012
2.100000000000001e+000	2.100000e+000	2.111300e-012
2.150000000000000e+000	2.150000e+000	2.161300e-012
2.200000000000000e+000	2.200000e+000	2.211300e-012
2.250000000000000e+000	2.250000e+000	2.261300e-012
2.300000000000000e+000	2.300000e+000	2.311300e-012
2.350000000000000e+000	2.350000e+000	2.361300e-012
2.400000000000000e+000	2.400000e+000	2.411301e-012
2.449999999999999e+000	2.450000e+000	2.461300e-012
2.499999999999999e+000	2.500000e+000	2.511300e-012
2.549999999999999e+000	2.550000e+000	2.561300e-012
2.599999999999999e+000	2.600000e+000	2.611300e-012
2.649999999999999e+000	2.650000e+000	2.661300e-012
2.699999999999998e+000	2.700000e+000	2.711300e-012
2.749999999999998e+000	2.750000e+000	2.761300e-012
2.799999999999998e+000	2.800000e+000	2.811300e-012
2.849999999999998e+000	2.850000e+000	2.861300e-012
2.899999999999998e+000	2.900000e+000	2.911300e-012
2.949999999999998e+000	2.950000e+000	2.961300e-012
2.999999999999997e+000	3.000000e+000	3.011300e-012
3.049999999999997e+000	3.050000e+000	3.061300e-012
3.099999999999997e+000	3.100000e+000	3.111300e-012
3.149999999999997e+000	3.150000e+000	3.161300e-012
3.199999999999997e+000	3.200000e+000	3.211300e-012
3.249999999999996e+000	3.250000e+000	3.261299e-012
3.299999999999996e+000	3.300000e+000	3.311300e-012
3.349999999999996e+000	3.350000e+000	3.361300e-012
3.399999999999996e+000	3.400000e+000	3.411300e-012
3.449999999999996e+000	3.450000e+000	3.461300e-012
3.499999999999996e+000	3.500000e+000	3.511300e-012
3.549999999999995e+000	3.550000e+000	3.561300e-012
3.599999999999995e+000	3.600000e+000	3.611299e-012
3.649999999999995e+000	3.650000e+000	3.661300e-012
3.699999999999995e+000	3.700000e+000	3.711301e-012
3.749999999999995e+000	3.750000e+000	3.761299e-012
3.799999999999995e+000	3.800000e+000	3.811300e-012
3.849999999999994e+000	3.850000e+000	3.861300e-012
3.899999999999994e+000	3.900000e+000	3.911301e-012
3.949999999999994e+000	3.950000e+000	3.961299e-012
3.999999999999994e+000	4.000000e+000	4.011301e-012
4.049999999999994e+000	4.050000e+000	4.061300e-012
4.099999999999993e+000	4.100000e+000	4.111300e-012
4.149999999999993e+000	4.150000e+000	4.161299e-012
4.199999999999993e+000	4.200000e+000	4.211300e-012
4.249999999999993e+000	4.250000e+000	4.261301e-012
4.299999999999993e+000	4.300000e+000	4.311301e-012
4.349999999999993e+000	4.350000e+000	4.361300e-012
4.399999999999992e+000	4.400000e+000	4.411301e-012
4.449999999999992e+000	4.450000e+000	4.461299e-012
4.499999999999992e+000	4.500000e+000	4.511300e-012
4.549999999999992e+000	4.550000e+000	4.561299e-012
4.599999999999992e+000	4.600000e+000	4.611301e-012
4.649999999999992e+000	4.650000e+000	4.661300e-012
4.699999999999991e+000	4.700000e+000	4.711301e-012
4.749999999999991e+000	4.750000e+000	4.761299e-012
4.799999999999991e+000	4.800000e+000	4.811300e-012
4.849999999999991e+000	4.850000e+000	4.861299e-012
4.899999999999991e+000	4.900000e+000	4.911300e-012
4.949999999999990e+000	4.950000e+000	4.961300e-012
4.999999999999990e+000	5.000000e+000	5.011301e-012
5.049999999999990e+000	5.050000e+000	5.061300e-012
5.099999999999990e+000	5.100000e+000	5.111301e-012
5.149999999999990e+000	5.150000e+000	5.161299e-012
5.199999999999990e+000	5.200000e+000	5.211300e-012
5.249999999999989e+000	5.250000e+000	5.261299e-012
5.299999999999989e+000	5.300000e+000	5.311301e-012
5.349999999999989e+000	5.350000e+000	5.361300e-012
5.399999999999989e+000	5.400000e+000	5.411301e-012
5.449999999999989e+000	5.450000e+000	5.461299e-012
5.499999999999989e+000	5.500000e+000	5.511300e-012
5.549999999999988e+000	5.550000e+000	5.561299e-012
5.599999999999988e+000	5.600000e+000	5.611300e-012
5.649999999999988e+000	5.650000e+000	5.661300e-012
5.699999999999988e+000	5.700000e+000	5.711301e-012
5.749999999999988e+000	5.750000e+000	5.761300e-012
5.799999999999987e+000	5.800000e+000	5.811300e-012
5.849999999999987e+000	5.850000e+000	5.861299e-012
5.899999999999987e+000	5.900000e+000	5.911300e-012
5.949999999999987e+000	5.950000e+000	5.961299e-012
5.999999999999987e+000	6.000000e+000	6.011301e-012
6.049999999999987e+000	6.050000e+000	6.061300e-012
6.099999999999986e+000	6.100000e+000	6.111301e-012
6.149999999999986e+000	6.150000e+000	6.161299e-012
6.199999999999986e+000	6.200000e+000	6.211300e-012
6.249999999999986e+000	6.250000e+000	6.261299e-012
6.299999999999986e+000	6.300000e+000	6.311300e-012
6.349999999999985e+000	6.350000e+000	6.361300e-012
6.399999999999985e+000	6.400000e+000	6.411301e-012
6.449999999999985e+000	6.450000e+000	6.461299e-012
6.499999999999985e+000	6.500000e+000	6.511300e-012
6.549999999999985e+000	6.550000e+000	6.561299e-012
6.599999999999985e+000	6.600000e+000	6.611300e-012
6.649999999999984e+000	6.650000e+000	6.661298e-012
6.699999999999984e+000	6.700000e+000	6.711301e-012
6.749999999999984e+000	6.750000e+000	6.761300e-012
6.799999999999984e+000	6.800000e+000	6.811301e-012
6.849999999999984e+000	6.850000e+000	6.861299e-012
6.899999999999984e+000	6.900000e+000	6.911300e-012
6.949999999999983e+000	6.950000e+000	6.961299e-012
6.999999999999983e+000	7.000000e+000	7.011300e-012
7.049999999999983e+000	7.050000e+000	7.061300e-012
7.099999999999983e+000	7.100000e+000	7.111301e-012
7.149999999999983e+000	7.150000e+000	7.161299e-012
7.199999999999982e+000	7.200000e+000	7.211300e-012
7.249999999999982e+000	7.250000e+000	7.261299e-012
7.299999999999982e+000	7.300000e+000	7.311299e-012
7.349999999999982e+000	7.350000e+000	7.361300e-012
7.399999999999982e+000	7.400000e+000	7.411299e-012
7.449999999999982e+000	7.450000e+000	7.461300e-012
7.499999999999981e+000	7.500000e+000	7.511301e-012
7.549999999999981e+000	7.550000e+000	7.561301e-012
7.599999999999981e+000	7.600000e+000	7.611301e-012
7.649999999999981e+000	7.650000e+000	7.661299e-012
7.699999999999981e+000	7.700000e+000	7.711299e-012
7.749999999999981e+000	7.750000e+000	7.761300e-012
7.799999999999980e+000	7.800000e+000	7.811303e-012
7.849999999999980e+000	7.850000e+000	7.861299e-012
7.899999999999980e+000	7.900000e+000	7.911300e-012
7.949999999999980e+000	7.950000e+000	7.961301e-012
7.999999999999980e+000	8.000000e+000	8.011302e-012
8.049999999999979e+000	8.050000e+000	8.061300e-012
8.099999999999980e+000	8.100000e+000	8.111299e-012
8.149999999999981e+000	8.150000e+000	8.161301e-012
8.199999999999982e+000	8.200000e+000	8.211301e-012
8.249999999999982e+000	8.250000e+000	8.261299e-012
8.299999999999983e+000	8.300000e+000	8.311298e-012
8.349999999999984e+000	8.350000e+000	8.361300e-012
8.399999999999984e+000	8.400000e+000	8.411299e-012
8.449999999999985e+000	8.450000e+000	8.461302e-012
8.499999999999986e+000	8.500000e+000	8.511300e-012
8.549999999999987e+000	8.550000e+000	8.561299e-012
8.599999999999987e+000	8.600000e+000	8.611302e-012
8.649999999999988e+000	8.650000e+000	8.661301e-012
8.699999999999989e+000	8.700000e+000	8.711299e-012
8.749999999999989e+000	8.750000e+000	8.761298e-012
8.799999999999990e+000	8.800000e+000	8.811297e-012
8.849999999999991e+000	8.850000e+000	8.861300e-012
8.899999999999992e+000	8.900000e+000	8.911302e-012
8.949999999999992e+000	8.950000e+000	8.961300e-012
8.999999999999993e+000	9.000000e+000	9.011300e-012
9.049999999999994e+000	9.050000e+000	9.061299e-012
9.099999999999994e+000	9.100000e+000	9.111301e-012
9.149999999999995e+000	9.150000e+000	9.161299e-012
9.199999999999996e+000	9.200000e+000	9.211298e-012
9.249999999999996e+000	9.250000e+000	9.261297e-012
9.299999999999997e+000	9.300000e+000	9.311300e-012
9.349999999999998e+000	9.350000e+000	9.361303e-012
9.399999999999999e+000	9.400000e+000	9.411301e-012
9.449999999999999e+000	9.450000e+000	9.461300e-012
9.500000000000000e+000	9.500000e+000	9.511299e-012
9.550000000000001e+000	9.550000e+000	9.561301e-012
9.600000000000001e+000	9.600000e+000	9.611300e-012
9.650000000000002e+000	9.650000e+000	9.661299e-012
9.700000000000003e+000	9.700000e+000	9.711301e-012
9.750000000000004e+000	9.750000e+000	9.761300e-012
9.800000000000004e+000	9.800000e+000	9.811303e-012
9.850000000000005e+000	9.850000e+000	9.861301e-012
9.900000000000006e+000	9.900000e+000	9.911300e-012
9.950000000000006e+000	9.950000e+000	9.961299e-012
1.000000000000001e+001	1.000000e+001	1.001130e-011
1.005000000000001e+001	1.005000e+001	1.006130e-011
1.010000000000001e+001	1.010000e+001	1.011130e-011
1.015000000000001e+001	1.015000e+001	1.016130e-011
1.020000000000001e+001	1.020000e+001	1.021130e-011
1.025000000000001e+001	1.025000e+001	1.026130e-011
1.030000000000001e+001	1.030000e+001	1.031130e-011
1.035000000000001e+001	1.035000e+001	1.036130e-011
1.040000000000001e+001	1.040000e+001	1.041130e-011
1.045000000000001e+001	1.045000e+001	1.046130e-011
1.050000000000001e+001	1.050000e+001	1.051130e-011
1.055000000000002e+001	1.055000e+001	1.056130e-011
1.060000000000002e+001	1.060000e+001	1.061130e-011
1.065000000000002e+001	1.065000e+001	1.066130e-011
1.070000000000002e+001	1.070000e+001	1.071130e-011
1.075000000000002e+001	1.075000e+001	1.076130e-011
1.080000000000002e+001	1.080000e+001	1.081130e-011
1.085000000000002e+001	1.085000e+001	1.086130e-011
1.090000000000002e+001	1.090000e+001	1.091130e-011
1.095000000000002e+001	1.095000e+001	1.096130e-011
1.100000000000002e+001	1.100000e+001	1.101130e-011
1.105000000000002e+001	1.105000e+001	1.106130e-011
1.110000000000002e+001	1.110000e+001	1.111130e-011
