v	V(vd)	I(D1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-001	1.000000e-001	9.999871e-014
2.000000000000000e-001	2.000000e-001	1.999974e-013
3.000000000000000e-001	3.000000e-001	3.000008e-013
4.000000000000000e-001	4.000000e-001	4.000041e-013
5.000000000000000e-001	5.000000e-001	5.000445e-013
6.000000000000000e-001	6.000000e-001	6.005196e-013
7.000000000000000e-001	7.000000e-001	7.068420e-013
7.999999999999999e-001	8.000000e-001	8.901768e-013
8.999999999999999e-001	9.000000e-001	2.087164e-012
9.999999999999999e-001	1.000000e+000	1.662783e-011
1.100000000000000e+000	1.100000e+000	2.068250e-010
1.200000000000000e+000	1.199999e+000	2.709293e-009
1.300000000000000e+000	1.299983e+000	3.563640e-008
1.400000000000000e+000	1.399781e+000	4.666300e-007
1.500000000000000e+000	1.497294e+000	5.756709e-006
1.600000000000000e+000	1.578314e+000	4.616119e-005
1.700000000000000e+000	1.626377e+000	1.566524e-004
1.800000000000001e+000	1.653889e+000	3.108746e-004
1.900000000000001e+000	1.672177e+000	4.847496e-004
2.000000000000000e+000	1.685999e+000	6.686205e-004
2.100000000000001e+000	1.696700e+000	8.583461e-004
2.200000000000001e+000	1.705664e+000	1.051859e-003
2.300000000000001e+000	1.713454e+000	1.248007e-003
2.400000000000001e+000	1.720351e+000	1.446084e-003
2.500000000000001e+000	1.726559e+000	1.645632e-003
2.600000000000001e+000	1.732226e+000	1.846336e-003
2.700000000000001e+000	1.737455e+000	2.047972e-003
2.800000000000001e+000	1.742326e+000	2.250375e-003
2.900000000000001e+000	1.746895e+000	2.453418e-003
3.000000000000001e+000	1.751209e+000	2.657004e-003
3.100000000000001e+000	1.755304e+000	2.861057e-003
3.200000000000002e+000	1.759208e+000	3.065515e-003
3.300000000000002e+000	1.762946e+000	3.270328e-003
3.400000000000002e+000	1.766537e+000	3.475453e-003
3.500000000000002e+000	1.769997e+000	3.680857e-003
3.600000000000002e+000	1.773340e+000	3.886510e-003
3.700000000000002e+000	1.776578e+000	4.092387e-003
3.800000000000002e+000	1.779721e+000	4.298467e-003
3.900000000000002e+000	1.782777e+000	4.504730e-003
4.000000000000002e+000	1.785754e+000	4.711162e-003
4.100000000000001e+000	1.788658e+000	4.917748e-003
4.200000000000001e+000	1.791496e+000	5.124476e-003
4.300000000000001e+000	1.794273e+000	5.331335e-003
4.400000000000000e+000	1.796992e+000	5.538314e-003
4.500000000000000e+000	1.799659e+000	5.745406e-003
4.600000000000000e+000	1.802277e+000	5.952602e-003
4.699999999999999e+000	1.804849e+000	6.159896e-003
4.799999999999999e+000	1.807378e+000	6.367282e-003
4.899999999999999e+000	1.809867e+000	6.574752e-003
5.000000000000000e+000	1.812318e+000	6.782303e-003
