v1	V(n002)	I(R1)
-1.500000000000000e+001	-8.307469e-001	-3.014735e-002
-1.490000000000000e+001	-8.304442e-001	-2.993523e-002
-1.480000000000000e+001	-8.301388e-001	-2.972311e-002
-1.470000000000000e+001	-8.298327e-001	-2.951099e-002
-1.460000000000000e+001	-8.295252e-001	-2.929888e-002
-1.450000000000000e+001	-8.292161e-001	-2.908677e-002
-1.440000000000000e+001	-8.289055e-001	-2.887467e-002
-1.430000000000000e+001	-8.285934e-001	-2.866257e-002
-1.420000000000000e+001	-8.282797e-001	-2.845047e-002
-1.410000000000000e+001	-8.279645e-001	-2.823837e-002
-1.400000000000000e+001	-8.276477e-001	-2.802628e-002
-1.390000000000000e+001	-8.273292e-001	-2.781419e-002
-1.380000000000000e+001	-8.270091e-001	-2.760211e-002
-1.370000000000001e+001	-8.266873e-001	-2.739003e-002
-1.360000000000001e+001	-8.263637e-001	-2.717795e-002
-1.350000000000001e+001	-8.260385e-001	-2.696588e-002
-1.340000000000001e+001	-8.257115e-001	-2.675381e-002
-1.330000000000001e+001	-8.253827e-001	-2.654174e-002
-1.320000000000001e+001	-8.250521e-001	-2.632968e-002
-1.310000000000001e+001	-8.247197e-001	-2.611762e-002
-1.300000000000001e+001	-8.243853e-001	-2.590556e-002
-1.290000000000001e+001	-8.240491e-001	-2.569351e-002
-1.280000000000001e+001	-8.237110e-001	-2.548147e-002
-1.270000000000001e+001	-8.233708e-001	-2.526942e-002
-1.260000000000001e+001	-8.230287e-001	-2.505739e-002
-1.250000000000001e+001	-8.226845e-001	-2.484535e-002
-1.240000000000001e+001	-8.223383e-001	-2.463332e-002
-1.230000000000001e+001	-8.219899e-001	-2.442130e-002
-1.220000000000001e+001	-8.216394e-001	-2.420928e-002
-1.210000000000001e+001	-8.212867e-001	-2.399726e-002
-1.200000000000001e+001	-8.209319e-001	-2.378525e-002
-1.190000000000001e+001	-8.205747e-001	-2.357325e-002
-1.180000000000001e+001	-8.202153e-001	-2.336124e-002
-1.170000000000001e+001	-8.198535e-001	-2.314925e-002
-1.160000000000001e+001	-8.194893e-001	-2.293726e-002
-1.150000000000001e+001	-8.191227e-001	-2.272527e-002
-1.140000000000001e+001	-8.187536e-001	-2.251329e-002
-1.130000000000001e+001	-8.183820e-001	-2.230131e-002
-1.120000000000001e+001	-8.180079e-001	-2.208935e-002
-1.110000000000001e+001	-8.176311e-001	-2.187738e-002
-1.100000000000001e+001	-8.172516e-001	-2.166542e-002
-1.090000000000002e+001	-8.168695e-001	-2.145347e-002
-1.080000000000002e+001	-8.164845e-001	-2.124152e-002
-1.070000000000002e+001	-8.160968e-001	-2.102958e-002
-1.060000000000002e+001	-8.157061e-001	-2.081765e-002
-1.050000000000002e+001	-8.153125e-001	-2.060572e-002
-1.040000000000002e+001	-8.149159e-001	-2.039380e-002
-1.030000000000002e+001	-8.145162e-001	-2.018188e-002
-1.020000000000002e+001	-8.141134e-001	-1.996997e-002
-1.010000000000002e+001	-8.137074e-001	-1.975807e-002
-1.000000000000002e+001	-8.132981e-001	-1.954617e-002
-9.900000000000018e+000	-8.128855e-001	-1.933429e-002
-9.800000000000019e+000	-8.124694e-001	-1.912240e-002
-9.700000000000019e+000	-8.120499e-001	-1.891053e-002
-9.600000000000019e+000	-8.116269e-001	-1.869867e-002
-9.500000000000020e+000	-8.112001e-001	-1.848681e-002
-9.400000000000020e+000	-8.107697e-001	-1.827496e-002
-9.300000000000020e+000	-8.103354e-001	-1.806312e-002
-9.200000000000021e+000	-8.098972e-001	-1.785128e-002
-9.100000000000021e+000	-8.094550e-001	-1.763946e-002
-9.000000000000021e+000	-8.090087e-001	-1.742764e-002
-8.900000000000022e+000	-8.085582e-001	-1.721583e-002
-8.800000000000022e+000	-8.081034e-001	-1.700404e-002
-8.700000000000022e+000	-8.076443e-001	-1.679225e-002
-8.600000000000023e+000	-8.071806e-001	-1.658047e-002
-8.500000000000023e+000	-8.067123e-001	-1.636870e-002
-8.400000000000023e+000	-8.062392e-001	-1.615694e-002
-8.300000000000024e+000	-8.057612e-001	-1.594519e-002
-8.200000000000024e+000	-8.052782e-001	-1.573345e-002
-8.100000000000025e+000	-8.047901e-001	-1.552172e-002
-8.000000000000025e+000	-8.042967e-001	-1.531001e-002
-7.900000000000025e+000	-8.037979e-001	-1.509830e-002
-7.800000000000026e+000	-8.032935e-001	-1.488661e-002
-7.700000000000026e+000	-8.027834e-001	-1.467493e-002
-7.600000000000026e+000	-8.022673e-001	-1.446326e-002
-7.500000000000027e+000	-8.017452e-001	-1.425161e-002
-7.400000000000027e+000	-8.012168e-001	-1.403996e-002
-7.300000000000027e+000	-8.006819e-001	-1.382834e-002
-7.200000000000028e+000	-8.001404e-001	-1.361672e-002
-7.100000000000028e+000	-7.995921e-001	-1.340512e-002
-7.000000000000028e+000	-7.990367e-001	-1.319354e-002
-6.900000000000029e+000	-7.984740e-001	-1.298197e-002
-6.800000000000029e+000	-7.979038e-001	-1.277042e-002
-6.700000000000030e+000	-7.973257e-001	-1.255888e-002
-6.600000000000030e+000	-7.967396e-001	-1.234736e-002
-6.500000000000030e+000	-7.961453e-001	-1.213586e-002
-6.400000000000031e+000	-7.955422e-001	-1.192438e-002
-6.300000000000031e+000	-7.949303e-001	-1.171291e-002
-6.200000000000031e+000	-7.943091e-001	-1.150147e-002
-6.100000000000032e+000	-7.936784e-001	-1.129005e-002
-6.000000000000032e+000	-7.930377e-001	-1.107864e-002
-5.900000000000032e+000	-7.923867e-001	-1.086726e-002
-5.800000000000033e+000	-7.917250e-001	-1.065590e-002
-5.700000000000033e+000	-7.910521e-001	-1.044457e-002
-5.600000000000033e+000	-7.903676e-001	-1.023326e-002
-5.500000000000034e+000	-7.896710e-001	-1.002198e-002
-5.400000000000034e+000	-7.889618e-001	-9.810720e-003
-5.300000000000035e+000	-7.882395e-001	-9.599490e-003
-5.200000000000035e+000	-7.875035e-001	-9.388290e-003
-5.100000000000035e+000	-7.867532e-001	-9.177121e-003
-5.000000000000036e+000	-7.859879e-001	-8.965983e-003
-4.900000000000036e+000	-7.852068e-001	-8.754879e-003
-4.800000000000036e+000	-7.844093e-001	-8.543810e-003
