v	V(n002)	I(D1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
5.000000000000000e-002	4.999368e-002	1.344124e-008
1.000000000000000e-001	9.997529e-002	5.257483e-008
1.500000000000000e-001	1.499218e-001	1.663960e-007
2.000000000000000e-001	1.997667e-001	4.964824e-007
2.500000000000000e-001	2.493205e-001	1.445770e-006
3.000000000000000e-001	2.980672e-001	4.113030e-006
3.500000000000000e-001	3.447536e-001	1.117262e-005
4.000000000000000e-001	3.870270e-001	2.760209e-005
4.500000000000000e-001	4.223729e-001	5.878141e-005
4.999999999999999e-001	4.500593e-001	1.062582e-004
5.499999999999999e-001	4.713180e-001	1.674096e-004
6.000000000000000e-001	4.878809e-001	2.385517e-004
6.500000000000000e-001	5.012268e-001	3.167263e-004
7.000000000000001e-001	5.121001e-001	3.999024e-004
7.500000000000001e-001	5.212639e-001	4.867291e-004
8.000000000000002e-001	5.291547e-001	5.762986e-004
8.500000000000002e-001	5.360563e-001	6.679851e-004
9.000000000000002e-001	5.421738e-001	7.613449e-004
9.500000000000003e-001	5.476581e-001	8.560549e-004
1.000000000000000e+000	5.526217e-001	9.518743e-004
1.050000000000000e+000	5.571508e-001	1.048619e-003
1.100000000000000e+000	5.613125e-001	1.146147e-003
1.150000000000000e+000	5.651596e-001	1.244343e-003
1.200000000000000e+000	5.687349e-001	1.343119e-003
1.250000000000000e+000	5.720730e-001	1.442399e-003
1.300000000000001e+000	5.752026e-001	1.542123e-003
1.350000000000001e+000	5.781475e-001	1.642240e-003
1.400000000000001e+000	5.809277e-001	1.742708e-003
1.450000000000001e+000	5.835602e-001	1.843489e-003
1.500000000000001e+000	5.860595e-001	1.944555e-003
1.550000000000001e+000	5.884383e-001	2.045876e-003
1.600000000000001e+000	5.907073e-001	2.147431e-003
1.650000000000001e+000	5.928760e-001	2.249200e-003
1.700000000000001e+000	5.949528e-001	2.351164e-003
1.750000000000001e+000	5.969450e-001	2.453309e-003
1.800000000000001e+000	5.988592e-001	2.555619e-003
1.850000000000001e+000	6.007010e-001	2.658083e-003
1.900000000000001e+000	6.024758e-001	2.760690e-003
1.950000000000001e+000	6.041880e-001	2.863430e-003
2.000000000000001e+000	6.058420e-001	2.966294e-003
2.050000000000001e+000	6.074415e-001	3.069274e-003
2.100000000000001e+000	6.089899e-001	3.172362e-003
2.150000000000000e+000	6.104903e-001	3.275553e-003
2.200000000000000e+000	6.119457e-001	3.378839e-003
2.250000000000000e+000	6.133586e-001	3.482216e-003
2.300000000000000e+000	6.147313e-001	3.585678e-003
2.350000000000000e+000	6.160661e-001	3.689221e-003
2.400000000000000e+000	6.173650e-001	3.792841e-003
2.449999999999999e+000	6.186299e-001	3.896532e-003
2.499999999999999e+000	6.198624e-001	4.000293e-003
2.549999999999999e+000	6.210642e-001	4.104119e-003
2.599999999999999e+000	6.222368e-001	4.208007e-003
2.649999999999999e+000	6.233815e-001	4.311954e-003
2.699999999999998e+000	6.244996e-001	4.415958e-003
2.749999999999998e+000	6.255924e-001	4.520016e-003
2.799999999999998e+000	6.266608e-001	4.624126e-003
2.849999999999998e+000	6.277061e-001	4.728285e-003
2.899999999999998e+000	6.287290e-001	4.832491e-003
2.949999999999998e+000	6.297308e-001	4.936743e-003
2.999999999999997e+000	6.307120e-001	5.041038e-003
3.049999999999997e+000	6.316736e-001	5.145375e-003
3.099999999999997e+000	6.326163e-001	5.249753e-003
3.149999999999997e+000	6.335409e-001	5.354168e-003
3.199999999999997e+000	6.344479e-001	5.458621e-003
3.249999999999996e+000	6.353382e-001	5.563110e-003
3.299999999999996e+000	6.362123e-001	5.667633e-003
3.349999999999996e+000	6.370707e-001	5.772190e-003
3.399999999999996e+000	6.379141e-001	5.876779e-003
3.449999999999996e+000	6.387428e-001	5.981398e-003
3.499999999999996e+000	6.395575e-001	6.086048e-003
3.549999999999995e+000	6.403586e-001	6.190727e-003
3.599999999999995e+000	6.411465e-001	6.295433e-003
3.649999999999995e+000	6.419216e-001	6.400167e-003
3.699999999999995e+000	6.426845e-001	6.504927e-003
3.749999999999995e+000	6.434354e-001	6.609712e-003
3.799999999999995e+000	6.441747e-001	6.714522e-003
3.849999999999994e+000	6.449028e-001	6.819356e-003
3.899999999999994e+000	6.456199e-001	6.924213e-003
3.949999999999994e+000	6.463265e-001	7.029092e-003
3.999999999999994e+000	6.470229e-001	7.133994e-003
4.049999999999994e+000	6.477093e-001	7.238917e-003
4.099999999999993e+000	6.483859e-001	7.343860e-003
4.149999999999993e+000	6.490532e-001	7.448823e-003
4.199999999999993e+000	6.497113e-001	7.553806e-003
4.249999999999993e+000	6.503604e-001	7.658808e-003
4.299999999999993e+000	6.510009e-001	7.763828e-003
4.349999999999993e+000	6.516329e-001	7.868866e-003
4.399999999999992e+000	6.522567e-001	7.973921e-003
4.449999999999992e+000	6.528725e-001	8.078995e-003
4.499999999999992e+000	6.534805e-001	8.184084e-003
4.549999999999992e+000	6.540808e-001	8.289190e-003
4.599999999999992e+000	6.546737e-001	8.394311e-003
4.649999999999992e+000	6.552594e-001	8.499448e-003
4.699999999999991e+000	6.558380e-001	8.604600e-003
4.749999999999991e+000	6.564097e-001	8.709767e-003
4.799999999999991e+000	6.569746e-001	8.814948e-003
4.849999999999991e+000	6.575330e-001	8.920142e-003
4.899999999999991e+000	6.580849e-001	9.025351e-003
4.949999999999990e+000	6.586305e-001	9.130573e-003
5.000000000000000e+000	6.591700e-001	9.235809e-003
