v1	V(n002)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
5.000000000000000e-002	4.999761e-002	5.075762e-009
1.000000000000000e-001	9.999043e-002	2.037245e-008
1.500000000000000e-001	1.499688e-001	6.645224e-008
2.000000000000000e-001	1.999036e-001	2.050857e-007
2.500000000000000e-001	2.497083e-001	6.205753e-007
3.000000000000000e-001	2.991297e-001	1.851775e-006
3.500000000000000e-001	3.474694e-001	5.384250e-006
4.000000000000000e-001	3.930739e-001	1.473649e-005
4.500000000000000e-001	4.332092e-001	3.572503e-005
4.999999999999999e-001	4.656565e-001	7.307115e-005
5.499999999999999e-001	4.905514e-001	1.264864e-004
6.000000000000000e-001	5.095872e-001	1.923676e-004
6.500000000000000e-001	5.244918e-001	2.670387e-004
7.000000000000001e-001	5.365874e-001	3.476863e-004
7.500000000000001e-001	5.465320e-001	4.329105e-004
8.000000000000002e-001	5.549765e-001	5.213266e-004
8.500000000000002e-001	5.622939e-001	6.121407e-004
9.000000000000002e-001	5.687301e-001	7.048296e-004
9.500000000000003e-001	5.744639e-001	7.990130e-004
1.000000000000000e+000	5.796272e-001	8.944102e-004
1.050000000000000e+000	5.843192e-001	9.908102e-004
1.100000000000000e+000	5.886161e-001	1.088051e-003
1.150000000000000e+000	5.925776e-001	1.186005e-003
1.200000000000000e+000	5.962510e-001	1.284572e-003
1.250000000000000e+000	5.996746e-001	1.383671e-003
1.300000000000001e+000	6.028798e-001	1.483235e-003
1.350000000000001e+000	6.058922e-001	1.583208e-003
1.400000000000001e+000	6.087337e-001	1.683545e-003
1.450000000000001e+000	6.114224e-001	1.784208e-003
1.500000000000001e+000	6.139738e-001	1.885162e-003
1.550000000000001e+000	6.164013e-001	1.986380e-003
1.600000000000001e+000	6.187162e-001	2.087838e-003
1.650000000000001e+000	6.209288e-001	2.189513e-003
1.700000000000001e+000	6.230475e-001	2.291388e-003
1.750000000000001e+000	6.250801e-001	2.393447e-003
1.800000000000001e+000	6.270334e-001	2.495673e-003
1.850000000000001e+000	6.289135e-001	2.598056e-003
1.900000000000001e+000	6.307256e-001	2.700584e-003
1.950000000000001e+000	6.324746e-001	2.803246e-003
2.000000000000001e+000	6.341649e-001	2.906032e-003
2.050000000000001e+000	6.358002e-001	3.008936e-003
2.100000000000001e+000	6.373841e-001	3.111949e-003
2.150000000000000e+000	6.389199e-001	3.215064e-003
2.200000000000000e+000	6.404104e-001	3.318276e-003
2.250000000000000e+000	6.418583e-001	3.421578e-003
2.300000000000000e+000	6.432660e-001	3.524966e-003
2.350000000000000e+000	6.446357e-001	3.628435e-003
2.400000000000000e+000	6.459696e-001	3.731980e-003
2.449999999999999e+000	6.472695e-001	3.835597e-003
2.499999999999999e+000	6.485371e-001	3.939283e-003
2.549999999999999e+000	6.497741e-001	4.043034e-003
2.599999999999999e+000	6.509819e-001	4.146847e-003
2.649999999999999e+000	6.521620e-001	4.250719e-003
2.699999999999998e+000	6.533157e-001	4.354647e-003
2.749999999999998e+000	6.544440e-001	4.458630e-003
2.799999999999998e+000	6.555483e-001	4.562663e-003
2.849999999999998e+000	6.566296e-001	4.666746e-003
2.899999999999998e+000	6.576887e-001	4.770875e-003
2.949999999999998e+000	6.587268e-001	4.875049e-003
2.999999999999997e+000	6.597444e-001	4.979267e-003
3.049999999999997e+000	6.607428e-001	5.083526e-003
3.099999999999997e+000	6.617223e-001	5.187825e-003
3.149999999999997e+000	6.626839e-001	5.292162e-003
3.199999999999997e+000	6.636282e-001	5.396536e-003
3.249999999999996e+000	6.645558e-001	5.500945e-003
3.299999999999996e+000	6.654675e-001	5.605388e-003
3.349999999999996e+000	6.663637e-001	5.709865e-003
3.399999999999996e+000	6.672450e-001	5.814373e-003
3.449999999999996e+000	6.681119e-001	5.918911e-003
3.499999999999996e+000	6.689648e-001	6.023479e-003
3.549999999999995e+000	6.698044e-001	6.128076e-003
3.599999999999995e+000	6.706309e-001	6.232700e-003
3.649999999999995e+000	6.714450e-001	6.337351e-003
3.699999999999995e+000	6.722468e-001	6.442028e-003
3.749999999999995e+000	6.730368e-001	6.546730e-003
3.799999999999995e+000	6.738155e-001	6.651456e-003
3.849999999999994e+000	6.745831e-001	6.756206e-003
3.899999999999994e+000	6.753399e-001	6.860979e-003
3.949999999999994e+000	6.760864e-001	6.965774e-003
3.999999999999994e+000	6.768227e-001	7.070590e-003
4.049999999999994e+000	6.775492e-001	7.175427e-003
4.099999999999993e+000	6.782662e-001	7.280285e-003
4.149999999999993e+000	6.789739e-001	7.385162e-003
4.199999999999993e+000	6.796726e-001	7.490058e-003
4.249999999999993e+000	6.803625e-001	7.594973e-003
4.299999999999993e+000	6.810439e-001	7.699906e-003
4.349999999999993e+000	6.817170e-001	7.804858e-003
4.399999999999992e+000	6.823820e-001	7.909825e-003
4.449999999999992e+000	6.830391e-001	8.014810e-003
4.499999999999992e+000	6.836886e-001	8.119811e-003
4.549999999999992e+000	6.843306e-001	8.224828e-003
4.599999999999992e+000	6.849653e-001	8.329861e-003
4.649999999999992e+000	6.855928e-001	8.434908e-003
4.699999999999991e+000	6.862134e-001	8.539971e-003
4.749999999999991e+000	6.868273e-001	8.645048e-003
4.799999999999991e+000	6.874346e-001	8.750140e-003
4.849999999999991e+000	6.880353e-001	8.855244e-003
4.899999999999991e+000	6.886298e-001	8.960363e-003
4.949999999999990e+000	6.892181e-001	9.065493e-003
5.000000000000000e+000	6.898004e-001	9.170637e-003
