v1	V(n002)	I(R1)
-1.500000000000000e+001	-1.200929e+001	-6.363214e-003
-1.490000000000000e+001	-1.200833e+001	-6.152486e-003
-1.480000000000000e+001	-1.200731e+001	-5.941883e-003
-1.470000000000000e+001	-1.200628e+001	-5.731318e-003
-1.460000000000000e+001	-1.200521e+001	-5.520826e-003
-1.450000000000000e+001	-1.200411e+001	-5.310413e-003
-1.440000000000000e+001	-1.200296e+001	-5.100086e-003
-1.430000000000000e+001	-1.200177e+001	-4.889851e-003
-1.420000000000000e+001	-1.200053e+001	-4.679717e-003
-1.410000000000000e+001	-1.199924e+001	-4.469692e-003
-1.400000000000000e+001	-1.199790e+001	-4.259787e-003
-1.390000000000000e+001	-1.199649e+001	-4.050015e-003
-1.380000000000000e+001	-1.199502e+001	-3.840388e-003
-1.370000000000001e+001	-1.199347e+001	-3.630922e-003
-1.360000000000001e+001	-1.199183e+001	-3.421637e-003
-1.350000000000001e+001	-1.199010e+001	-3.212554e-003
-1.340000000000001e+001	-1.198826e+001	-3.003700e-003
-1.330000000000001e+001	-1.198630e+001	-2.795108e-003
-1.320000000000001e+001	-1.198420e+001	-2.586816e-003
-1.310000000000001e+001	-1.198193e+001	-2.378874e-003
-1.300000000000001e+001	-1.197947e+001	-2.171343e-003
-1.290000000000001e+001	-1.197678e+001	-1.964303e-003
-1.280000000000001e+001	-1.197381e+001	-1.757857e-003
-1.270000000000001e+001	-1.197049e+001	-1.552148e-003
-1.260000000000001e+001	-1.196673e+001	-1.347374e-003
-1.250000000000001e+001	-1.196240e+001	-1.143824e-003
-1.240000000000001e+001	-1.195729e+001	-9.419385e-004
-1.230000000000001e+001	-1.195105e+001	-7.424454e-004
-1.220000000000001e+001	-1.194307e+001	-5.466500e-004
-1.210000000000001e+001	-1.193211e+001	-3.572211e-004
-1.200000000000001e+001	-1.191441e+001	-1.820977e-004
-1.190000000000001e+001	-1.187855e+001	-4.563955e-005
-1.180000000000001e+001	-1.179901e+001	-2.109307e-006
-1.170000000000001e+001	-1.169998e+001	-4.586320e-008
-1.160000000000001e+001	-1.160000e+001	-9.717247e-010
-1.150000000000001e+001	-1.150000e+001	-3.163009e-011
-1.140000000000001e+001	-1.140000e+001	-1.183437e-011
-1.130000000000001e+001	-1.130000e+001	-1.132326e-011
-1.120000000000001e+001	-1.120000e+001	-1.121277e-011
-1.110000000000001e+001	-1.110000e+001	-1.111128e-011
-1.100000000000001e+001	-1.100000e+001	-1.101289e-011
-1.090000000000002e+001	-1.090000e+001	-1.091290e-011
-1.080000000000002e+001	-1.080000e+001	-1.081289e-011
-1.070000000000002e+001	-1.070000e+001	-1.071288e-011
-1.060000000000002e+001	-1.060000e+001	-1.061286e-011
-1.050000000000002e+001	-1.050000e+001	-1.051285e-011
-1.040000000000002e+001	-1.040000e+001	-1.041283e-011
-1.030000000000002e+001	-1.030000e+001	-1.031282e-011
-1.020000000000002e+001	-1.020000e+001	-1.021280e-011
-1.010000000000002e+001	-1.010000e+001	-1.011279e-011
-1.000000000000002e+001	-1.000000e+001	-1.001278e-011
-9.900000000000018e+000	-9.900000e+000	-9.912759e-012
-9.800000000000019e+000	-9.800000e+000	-9.812746e-012
-9.700000000000019e+000	-9.700000e+000	-9.712730e-012
-9.600000000000019e+000	-9.600000e+000	-9.612717e-012
-9.500000000000020e+000	-9.500000e+000	-9.512701e-012
-9.400000000000020e+000	-9.400000e+000	-9.412689e-012
-9.300000000000020e+000	-9.300000e+000	-9.312671e-012
-9.200000000000021e+000	-9.200000e+000	-9.212655e-012
-9.100000000000021e+000	-9.100000e+000	-9.112639e-012
-9.000000000000021e+000	-9.000000e+000	-9.012626e-012
-8.900000000000022e+000	-8.900000e+000	-8.912609e-012
-8.800000000000022e+000	-8.800000e+000	-8.812597e-012
-8.700000000000022e+000	-8.700000e+000	-8.712580e-012
-8.600000000000023e+000	-8.600000e+000	-8.612568e-012
-8.500000000000023e+000	-8.500000e+000	-8.512552e-012
-8.400000000000023e+000	-8.400000e+000	-8.412539e-012
-8.300000000000024e+000	-8.300000e+000	-8.312523e-012
-8.200000000000024e+000	-8.200000e+000	-8.212510e-012
-8.100000000000025e+000	-8.100000e+000	-8.112493e-012
-8.000000000000025e+000	-8.000000e+000	-8.012480e-012
-7.900000000000025e+000	-7.900000e+000	-7.912464e-012
-7.800000000000026e+000	-7.800000e+000	-7.812451e-012
-7.700000000000026e+000	-7.700000e+000	-7.712435e-012
-7.600000000000026e+000	-7.600000e+000	-7.612422e-012
-7.500000000000027e+000	-7.500000e+000	-7.512406e-012
-7.400000000000027e+000	-7.400000e+000	-7.412391e-012
-7.300000000000027e+000	-7.300000e+000	-7.312375e-012
-7.200000000000028e+000	-7.200000e+000	-7.212360e-012
-7.100000000000028e+000	-7.100000e+000	-7.112346e-012
-7.000000000000028e+000	-7.000000e+000	-7.012331e-012
-6.900000000000029e+000	-6.900000e+000	-6.912317e-012
-6.800000000000029e+000	-6.800000e+000	-6.812302e-012
-6.700000000000030e+000	-6.700000e+000	-6.712287e-012
-6.600000000000030e+000	-6.600000e+000	-6.612273e-012
-6.500000000000030e+000	-6.500000e+000	-6.512258e-012
-6.400000000000031e+000	-6.400000e+000	-6.412244e-012
-6.300000000000031e+000	-6.300000e+000	-6.312229e-012
-6.200000000000031e+000	-6.200000e+000	-6.212213e-012
