Freq.	V(n003)
1.00000000000000e+000	(-8.69029741119511e-007dB,-7.02350929729438e-005°)
1.02329299228075e+000	(-8.69030049704331e-007dB,-7.18710784513989e-005°)
1.04712854805090e+000	(-8.69030370825410e-007dB,-7.35451709269750e-005°)
1.07151930523761e+000	(-8.69030707375729e-007dB,-7.52582580256618e-005°)
1.09647819614318e+000	(-8.69031061283945e-007dB,-7.70112480489144e-005°)
1.12201845430196e+000	(-8.69031431585729e-007dB,-7.88050704552468e-005°)
1.14815362149688e+000	(-8.69031818281082e-007dB,-8.06406763530428e-005°)
1.17489755493953e+000	(-8.69032223298658e-007dB,-8.25190390048464e-005°)
1.20226443461741e+000	(-8.69032646638458e-007dB,-8.44411543433988e-005°)
1.23026877081238e+000	(-8.69033090229137e-007dB,-8.64080414996946e-005°)
1.25892541179417e+000	(-8.69033556963678e-007dB,-8.84207433433389e-005°)
1.28824955169313e+000	(-8.69034043949097e-007dB,-9.04803270354905e-005°)
1.31825673855641e+000	(-8.69034556007033e-007dB,-9.25878845946846e-005°)
1.34896288259165e+000	(-8.69035090244503e-007dB,-9.47445334758361e-005°)
1.38038426460288e+000	(-8.69035649554490e-007dB,-9.69514171627282e-005°)
1.41253754462275e+000	(-8.69036234901320e-007dB,-9.92097057743034e-005°)
1.44543977074593e+000	(-8.69036848213651e-007dB,-1.01520596685075e-004°)
1.47910838816821e+000	(-8.69037491420135e-007dB,-1.03885315159993e-004°)
1.51356124843621e+000	(-8.69038163556447e-007dB,-1.06305115004093e-004°)
1.54881661891248e+000	(-8.69038869444223e-007dB,-1.08781279227282e-004°)
1.58489319246111e+000	(-8.69039608119136e-007dB,-1.11315120724608e-004°)
1.62181009735893e+000	(-8.69040380545514e-007dB,-1.13907982972370e-004°)
1.65958690743756e+000	(-8.69041187687684e-007dB,-1.16561240740455e-004°)
1.69824365246174e+000	(-8.69042034367285e-007dB,-1.19276300821250e-004°)
1.73780082874937e+000	(-8.69042921548643e-007dB,-1.22054602775548e-004°)
1.77827941003892e+000	(-8.69043851160413e-007dB,-1.24897619695820e-004°)
1.81970085860998e+000	(-8.69044825131252e-007dB,-1.27806858987270e-004°)
1.86208713666287e+000	(-8.69045840568176e-007dB,-1.30783863167077e-004°)
1.90546071796325e+000	(-8.69046909043116e-007dB,-1.33830210682264e-004°)
1.94984459975804e+000	(-8.69048026698761e-007dB,-1.36947516746606e-004°)
1.99526231496888e+000	(-8.69049195463768e-007dB,-1.40137434197041e-004°)
2.04173794466953e+000	(-8.69050418231118e-007dB,-1.43401654370024e-004°)
2.08929613085404e+000	(-8.69051701751104e-007dB,-1.46741907998298e-004°)
2.13796208950223e+000	(-8.69053045059399e-007dB,-1.50159966128550e-004°)
2.18776162394955e+000	(-8.69054449120331e-007dB,-1.53657641060444e-004°)
2.23872113856834e+000	(-8.69055921648520e-007dB,-1.57236787307526e-004°)
2.29086765276777e+000	(-8.69057462643966e-007dB,-1.60899302580511e-004°)
2.34422881531992e+000	(-8.69059078856961e-007dB,-1.64647128793478e-004°)
2.39883291901949e+000	(-8.69060768358852e-007dB,-1.68482253093491e-004°)
2.45470891568503e+000	(-8.69062537899930e-007dB,-1.72406708914218e-004°)
2.51188643150958e+000	(-8.69064393266161e-007dB,-1.76422577054082e-004°)
2.57039578276886e+000	(-8.69066331564563e-007dB,-1.80531986779527e-004°)
2.63026799189538e+000	(-8.69068362438411e-007dB,-1.84737116953982e-004°)
2.69153480392691e+000	(-8.69070492637997e-007dB,-1.89040197193129e-004°)
2.75422870333816e+000	(-8.69072718306013e-007dB,-1.93443509047068e-004°)
2.81838293126445e+000	(-8.69075052943043e-007dB,-1.97949387210028e-004°)
2.88403150312660e+000	(-8.69077493656105e-007dB,-2.02560220758253e-004°)
2.95120922666638e+000	(-8.69080054910112e-007dB,-2.07278454416722e-004°)
3.01995172040201e+000	(-8.69082732847755e-007dB,-2.12106589855374e-004°)
3.09029543251359e+000	(-8.69085538076636e-007dB,-2.17047187015526e-004°)
3.16227766016837e+000	(-8.69088474454065e-007dB,-2.22102865467188e-004°)
3.23593656929628e+000	(-8.69091550658992e-007dB,-2.27276305797994e-004°)
3.31131121482591e+000	(-8.69094769584397e-007dB,-2.32570251034488e-004°)
3.38844156139202e+000	(-8.69098143766540e-007dB,-2.37987508096506e-004°)
3.46736850452531e+000	(-8.69101674169748e-007dB,-2.43530949285448e-004°)
3.54813389233575e+000	(-8.69105372365953e-007dB,-2.49203513807208e-004°)
3.63078054770101e+000	(-8.69109242212463e-007dB,-2.55008209330580e-004°)
3.71535229097172e+000	(-8.69113298174193e-007dB,-2.60948113581965e-004°)
3.80189396320560e+000	(-8.69117543144126e-007dB,-2.67026375977220e-004°)
3.89045144994280e+000	(-8.69121989658519e-007dB,-2.73246219291522e-004°)
3.98107170553496e+000	(-8.69126646396321e-007dB,-2.79610941368124e-004°)
4.07380277804112e+000	(-8.69131517214842e-007dB,-2.86123916866920e-004°)
4.16869383470335e+000	(-8.69136622364961e-007dB,-2.92788599053725e-004°)
4.26579518801592e+000	(-8.69141968596970e-007dB,-2.99608521631253e-004°)
4.36515832240165e+000	(-8.69147565554146e-007dB,-3.06587300612727e-004°)
4.46683592150962e+000	(-8.69153427701402e-007dB,-3.13728636239135e-004°)
4.57088189614874e+000	(-8.69159561789030e-007dB,-3.21036314941154e-004°)
4.67735141287197e+000	(-8.69165987103583e-007dB,-3.28514211346758e-004°)
4.78630092322637e+000	(-8.69172716181318e-007dB,-3.36166290335602e-004°)
4.89778819368445e+000	(-8.69179759629839e-007dB,-3.43996609141253e-004°)
5.01187233627271e+000	(-8.69187138664351e-007dB,-3.52009319502386e-004°)
5.12861383991364e+000	(-8.69194866785441e-007dB,-3.60208669864095e-004°)
5.24807460249771e+000	(-8.69202954600713e-007dB,-3.68599007630471e-004°)
5.37031796370252e+000	(-8.69211426218354e-007dB,-3.77184781469656e-004°)
5.49540873857623e+000	(-8.69220297067607e-007dB,-3.85970543672584e-004°)
5.62341325190348e+000	(-8.69229586435022e-007dB,-3.94960952566667e-004°)
5.75439937337156e+000	(-8.69239311678495e-007dB,-4.04160774985700e-004°)
5.88843655355588e+000	(-8.69249494977561e-007dB,-4.13574888797302e-004°)
6.02559586074356e+000	(-8.69260158511753e-007dB,-4.23208285489225e-004°)
6.16595001861481e+000	(-8.69271326389261e-007dB,-4.33066072815905e-004°)
6.30957344480192e+000	(-8.69283018860963e-007dB,-4.43153477506665e-004°)
6.45654229034654e+000	(-8.69295262928031e-007dB,-4.53475848036991e-004°)
6.60693448007594e+000	(-8.69308085591637e-007dB,-4.64038657464368e-004°)
6.76082975391980e+000	(-8.69321510959970e-007dB,-4.74847506330168e-004°)
6.91830970918935e+000	(-8.69335568927185e-007dB,-4.85908125629128e-004°)
7.07945784384136e+000	(-8.69350288423108e-007dB,-4.97226379848001e-004°)
7.24435960074988e+000	(-8.69365704163531e-007dB,-5.08808270074986e-004°)
7.41310241300916e+000	(-8.69381845078282e-007dB,-5.20659937181581e-004°)
7.58577575029182e+000	(-8.69398745883152e-007dB,-5.32787665078558e-004°)
7.76247116628690e+000	(-8.69416445151245e-007dB,-5.45197884047774e-004°)
7.94328234724279e+000	(-8.69434977598352e-007dB,-5.57897174151588e-004°)
8.12830516164097e+000	(-8.69454384690559e-007dB,-5.70892268721706e-004°)
8.31763771102669e+000	(-8.69474705000968e-007dB,-5.84190057929271e-004°)
8.51138038202374e+000	(-8.69495980959993e-007dB,-5.97797592438135e-004°)
8.70963589956078e+000	(-8.69518260784010e-007dB,-6.11722087143204e-004°)
8.91250938133743e+000	(-8.69541592689399e-007dB,-6.25970924995876e-004°)
9.12010839355907e+000	(-8.69566022963883e-007dB,-6.40551660918580e-004°)
9.33254300796988e+000	(-8.69591605609804e-007dB,-6.55472025810494e-004°)
9.54992586021433e+000	(-8.69618393665179e-007dB,-6.70739930646569e-004°)
9.77237220955808e+000	(-8.69646442096680e-007dB,-6.86363470672035e-004°)
9.99999999999997e+000	(-8.69675814549924e-007dB,-7.02350929694607e-004°)
1.02329299228075e+001	(-8.69706571777550e-007dB,-7.18710784476668e-004°)
1.04712854805090e+001	(-8.69738776460847e-007dB,-7.35451709229760e-004°)
1.07151930523760e+001	(-8.69772499960057e-007dB,-7.52582580213768e-004°)
1.09647819614318e+001	(-8.69807811706763e-007dB,-7.70112480443230e-004°)
1.12201845430196e+001	(-8.69844789811499e-007dB,-7.88050704503270e-004°)
1.14815362149688e+001	(-8.69883508527486e-007dB,-8.06406763477711e-004°)
1.17489755493953e+001	(-8.69924051751223e-007dB,-8.25190389991977e-004°)
1.20226443461741e+001	(-8.69966509165173e-007dB,-8.44411543373461e-004°)
1.23026877081238e+001	(-8.70010963701506e-007dB,-8.64080414932090e-004°)
1.25892541179416e+001	(-8.70057513721634e-007dB,-8.84207433363895e-004°)
1.28824955169313e+001	(-8.70106260479951e-007dB,-9.04803270280441e-004°)
1.31825673855640e+001	(-8.70157303302197e-007dB,-9.25878845867056e-004°)
1.34896288259165e+001	(-8.70210751157385e-007dB,-9.47445334672865e-004°)
1.38038426460288e+001	(-8.70266716871841e-007dB,-9.69514171535671e-004°)
1.41253754462275e+001	(-8.70325322915166e-007dB,-9.92097057644871e-004°)
1.44543977074592e+001	(-8.70386688863976e-007dB,-1.01520596674557e-003°)
1.47910838816820e+001	(-8.70450946831149e-007dB,-1.03885315148723e-003°)
1.51356124843620e+001	(-8.70518233751199e-007dB,-1.06305114992017e-003°)
1.54881661891248e+001	(-8.70588694273260e-007dB,-1.08781279214342e-003°)
1.58489319246111e+001	(-8.70662473046466e-007dB,-1.11315120710742e-003°)
1.62181009735892e+001	(-8.70739729184866e-007dB,-1.13907982957513e-003°)
1.65958690743755e+001	(-8.70820624695490e-007dB,-1.16561240724535e-003°)
1.69824365246174e+001	(-8.70905335085955e-007dB,-1.19276300804191e-003°)
1.73780082874937e+001	(-8.70994036828205e-007dB,-1.22054602757269e-003°)
1.77827941003892e+001	(-8.71086919894771e-007dB,-1.24897619676234e-003°)
1.81970085860998e+001	(-8.71184177151164e-007dB,-1.27806858966283e-003°)
1.86208713666286e+001	(-8.71286020749450e-007dB,-1.30783863144590e-003°)
1.90546071796324e+001	(-8.71392662841691e-007dB,-1.33830210658169e-003°)
1.94984459975804e+001	(-8.71504331973522e-007dB,-1.36947516720787e-003°)
1.99526231496887e+001	(-8.71621264405195e-007dB,-1.40137434169375e-003°)
2.04173794466952e+001	(-8.71743706040238e-007dB,-1.43401654340380e-003°)
2.08929613085403e+001	(-8.71871918211422e-007dB,-1.46741907966534e-003°)
2.13796208950222e+001	(-8.72006173823448e-007dB,-1.50159966094514e-003°)
2.18776162394954e+001	(-8.72146755424292e-007dB,-1.53657641023974e-003°)
2.23872113856833e+001	(-8.72293962919826e-007dB,-1.57236787268447e-003°)
2.29086765276776e+001	(-8.72448109716509e-007dB,-1.60899302538638e-003°)
2.34422881531991e+001	(-8.72609519828402e-007dB,-1.64647128748610e-003°)
2.39883291901948e+001	(-8.72778536556119e-007dB,-1.68482253045414e-003°)
2.45470891568502e+001	(-8.72955519593841e-007dB,-1.72406708862703e-003°)
2.51188643150957e+001	(-8.73140842136336e-007dB,-1.76422576998882e-003°)
2.57039578276885e+001	(-8.73334904379542e-007dB,-1.80531986720379e-003°)
2.63026799189537e+001	(-8.73538105555073e-007dB,-1.84737116890605e-003°)
2.69153480392690e+001	(-8.73750889253608e-007dB,-1.89040197125219e-003°)
2.75422870333815e+001	(-8.73973693279861e-007dB,-1.93443508974301e-003°)
2.81838293126444e+001	(-8.74207003654925e-007dB,-1.97949387132057e-003°)
2.88403150312659e+001	(-8.74451308328548e-007dB,-2.02560220674706e-003°)
2.95120922666637e+001	(-8.74707128037616e-007dB,-2.07278454327199e-003°)
3.01995172040200e+001	(-8.74974999912583e-007dB,-2.12106589759449e-003°)
3.09029543251358e+001	(-8.75255499657005e-007dB,-2.17047186912740e-003°)
3.16227766016837e+001	(-8.75549219368007e-007dB,-2.22102865357051e-003°)
3.23593656929627e+001	(-8.75856778143888e-007dB,-2.27276305679981e-003°)
3.31131121482590e+001	(-8.76178834620374e-007dB,-2.32570250908034e-003°)
3.38844156139201e+001	(-8.76516068648399e-007dB,-2.37987507961008e-003°)
3.46736850452530e+001	(-8.76869197687674e-007dB,-2.43530949140259e-003°)
3.54813389233574e+001	(-8.77238966199078e-007dB,-2.49203513651635e-003°)
3.63078054770100e+001	(-8.77626163966890e-007dB,-2.55008209163881e-003°)
3.71535229097171e+001	(-8.78031605847903e-007dB,-2.60948113403344e-003°)
3.80189396320559e+001	(-8.78456158772600e-007dB,-2.67026375785824e-003°)
3.89045144994279e+001	(-8.78900721494274e-007dB,-2.73246219086437e-003°)
3.98107170553495e+001	(-8.79366234232302e-007dB,-2.79610941148373e-003°)
4.07380277804111e+001	(-8.79853686386769e-007dB,-2.86123916631451e-003°)
4.16869383470333e+001	(-8.80364109788172e-007dB,-2.92788598801416e-003°)
4.26579518801591e+001	(-8.80898591233681e-007dB,-2.99608521360900e-003°)
4.36515832240164e+001	(-8.81458258986550e-007dB,-3.06587300323037e-003°)
4.46683592150961e+001	(-8.82044303991326e-007dB,-3.13728635928727e-003°)
4.57088189614873e+001	(-8.82657972159228e-007dB,-3.21036314608546e-003°)
4.67735141287196e+001	(-8.83300557617854e-007dB,-3.28514210990362e-003°)
4.78630092322636e+001	(-8.83973427783696e-007dB,-3.36166289953717e-003°)
4.89778819368444e+001	(-8.84678008897231e-007dB,-3.43996608732056e-003°)
5.01187233627270e+001	(-8.85415796630518e-007dB,-3.52009319063924e-003°)
5.12861383991362e+001	(-8.86188356087205e-007dB,-3.60208669394275e-003°)
5.24807460249770e+001	(-8.86997321802522e-007dB,-3.68599007127050e-003°)
5.37031796370250e+001	(-8.87844417029840e-007dB,-3.77184780930230e-003°)
5.49540873857622e+001	(-8.88731433489786e-007dB,-3.85970543094579e-003°)
5.62341325190346e+001	(-8.89660252585451e-007dB,-3.94960951947323e-003°)
5.75439937337154e+001	(-8.90632847331049e-007dB,-4.04160774322061e-003°)
5.88843655355586e+001	(-8.91651277530273e-007dB,-4.13574888086200e-003°)
6.02559586074355e+001	(-8.92717703276887e-007dB,-4.23208284727265e-003°)
6.16595001861479e+001	(-8.93834389776361e-007dB,-4.33066071999451e-003°)
6.30957344480190e+001	(-8.95003706381543e-007dB,-4.43153476631819e-003°)
6.45654229034652e+001	(-8.96228127556990e-007dB,-4.53475847099576e-003°)
6.60693448007593e+001	(-8.97510256022826e-007dB,-4.64038656459910e-003°)
6.76082975391978e+001	(-8.98852812147140e-007dB,-4.74847505253872e-003°)
6.91830970918933e+001	(-9.00258634910317e-007dB,-4.85908124475856e-003°)
7.07945784384134e+001	(-9.01730717585155e-007dB,-4.97226378612248e-003°)
7.24435960074986e+001	(-9.03272173021073e-007dB,-5.08808268750852e-003°)
7.41310241300914e+001	(-9.04886275110197e-007dB,-5.20659935762747e-003°)
7.58577575029180e+001	(-9.06576448179760e-007dB,-5.32787663558250e-003°)
7.76247116628688e+001	(-9.08346279528356e-007dB,-5.45197882418734e-003°)
7.94328234724277e+001	(-9.10199519425946e-007dB,-5.57897172406041e-003°)
8.12830516164095e+001	(-9.12140096543092e-007dB,-5.70892266851318e-003°)
8.31763771102667e+001	(-9.14172133380208e-007dB,-5.84190055925115e-003°)
8.51138038202372e+001	(-9.16299937588605e-007dB,-5.97797590290643e-003°)
8.70963589956076e+001	(-9.18528019328391e-007dB,-6.11722084842125e-003°)
8.91250938133741e+001	(-9.20861110555024e-007dB,-6.25970922530226e-003°)
9.12010839355905e+001	(-9.23304155376035e-007dB,-6.40551658276589e-003°)
9.33254300796986e+001	(-9.25862337052202e-007dB,-6.55472022979549e-003°)
9.54992586021431e+001	(-9.28541081854861e-007dB,-6.70739927613157e-003°)
9.77237220955805e+001	(-9.31346074495148e-007dB,-6.86363467421676e-003°)
9.99999999999995e+001	(-9.34283259088329e-007dB,-7.02350926211784e-003°)
1.02329299228075e+002	(-9.37358870976610e-007dB,-7.18710780744756e-003°)
1.04712854805089e+002	(-9.40579431907499e-007dB,-7.35451705230944e-003°)
1.07151930523760e+002	(-9.43951772213348e-007dB,-7.52582575928960e-003°)
1.09647819614318e+002	(-9.47483044311930e-007dB,-7.70112475851975e-003°)
1.12201845430196e+002	(-9.51180743921660e-007dB,-7.88050699583652e-003°)
1.14815362149688e+002	(-9.55052707168604e-007dB,-8.06406758206246e-003°)
1.17489755493952e+002	(-9.59107153016901e-007dB,-8.25190384343501e-003°)
1.20226443461741e+002	(-9.63352676518468e-007dB,-8.44411537321010e-003°)
1.23026877081237e+002	(-9.67798287386110e-007dB,-8.64080408446772e-003°)
1.25892541179416e+002	(-9.72453413850829e-007dB,-8.84207426414751e-003°)
1.28824955169313e+002	(-9.77327929663005e-007dB,-9.04803262834299e-003°)
1.31825673855640e+002	(-9.82432174343271e-007dB,-9.25878837888373e-003°)
1.34896288259165e+002	(-9.87776971504749e-007dB,-9.47445326123551e-003°)
1.38038426460288e+002	(-9.93373664533169e-007dB,-9.69514162374917e-003°)
1.41253754462275e+002	(-9.99234123337169e-007dB,-9.92097047828945e-003°)
1.44543977074592e+002	(-1.00537077134947e-006dB,-1.01520595622762e-002°)
1.47910838816820e+002	(-1.01179663470760e-006dB,-1.03885314021704e-002°)
1.51356124843620e+002	(-1.01852533936090e-006dB,-1.06305113784394e-002°)
1.54881661891247e+002	(-1.02557115542960e-006dB,-1.08781277920351e-002°)
1.58489319246110e+002	(-1.03294903192064e-006dB,-1.11315119324206e-002°)
1.62181009735892e+002	(-1.04067461890720e-006dB,-1.13907981471813e-002°)
1.65958690743755e+002	(-1.04876430128016e-006dB,-1.16561239132578e-002°)
1.69824365246173e+002	(-1.05723523539260e-006dB,-1.19276299098379e-002°)
1.73780082874936e+002	(-1.06610539438315e-006dB,-1.22054600929458e-002°)
1.77827941003891e+002	(-1.07539359228424e-006dB,-1.24897617717700e-002°)
1.81970085860997e+002	(-1.08511952934549e-006dB,-1.27806856867676e-002°)
1.86208713666286e+002	(-1.09530383349979e-006dB,-1.30783860895892e-002°)
1.90546071796323e+002	(-1.10596811147274e-006dB,-1.33830208248645e-002°)
1.94984459975803e+002	(-1.11713497674811e-006dB,-1.36947514138936e-002°)
1.99526231496887e+002	(-1.12882812478540e-006dB,-1.40137431402872e-002°)
2.04173794466952e+002	(-1.14107235423515e-006dB,-1.43401651376018e-002°)
2.08929613085403e+002	(-1.15389363444180e-006dB,-1.46741904790163e-002°)
2.13796208950222e+002	(-1.16731916233910e-006dB,-1.50159962690971e-002°)
2.18776162394954e+002	(-1.18137741934546e-006dB,-1.53657637377012e-002°)
2.23872113856832e+002	(-1.19609821572302e-006dB,-1.57236783360658e-002°)
2.29086765276776e+002	(-1.21151278893913e-006dB,-1.60899298351366e-002°)
2.34422881531991e+002	(-1.22765382102428e-006dB,-1.64647124261867e-002°)
2.39883291901947e+002	(-1.24455556200605e-006dB,-1.68482248237782e-002°)
2.45470891568501e+002	(-1.26225385401737e-006dB,-1.72406703711233e-002°)
2.51188643150956e+002	(-1.28078624315856e-006dB,-1.76422571478983e-002°)
2.57039578276885e+002	(-1.30019203446404e-006dB,-1.80531980805700e-002°)
2.63026799189536e+002	(-1.32051239701414e-006dB,-1.84737110552912e-002°)
2.69153480392690e+002	(-1.34179042275909e-006dB,-1.89040190334259e-002°)
2.75422870333815e+002	(-1.36407125284606e-006dB,-1.93443501697657e-002°)
2.81838293126443e+002	(-1.38740214897945e-006dB,-1.97949379334992e-002°)
2.88403150312659e+002	(-1.41183259274674e-006dB,-2.02560212320000e-002°)
2.95120922666637e+002	(-1.43741440808815e-006dB,-2.07278445374971e-002°)
3.01995172040200e+002	(-1.46420185869388e-006dB,-2.12106580166963e-002°)
3.09029543251357e+002	(-1.49225176372349e-006dB,-2.17047176634206e-002°)
3.16227766016836e+002	(-1.52162361545405e-006dB,-2.22102854343404e-002°)
3.23593656929626e+002	(-1.55237972489366e-006dB,-2.27276293878645e-002°)
3.31131121482589e+002	(-1.58458532014310e-006dB,-2.32570238262676e-002°)
3.38844156139200e+002	(-1.61830871997492e-006dB,-2.37987494411262e-002°)
3.46736850452529e+002	(-1.65362145726756e-006dB,-2.43530934621445e-002°)
3.54813389233573e+002	(-1.69059842847632e-006dB,-2.49203498094446e-002°)
3.63078054770099e+002	(-1.72931807106987e-006dB,-2.55008192494053e-002°)
3.71535229097170e+002	(-1.76986251396561e-006dB,-2.60948095541301e-002°)
3.80189396320558e+002	(-1.81231775882347e-006dB,-2.67026356646300e-002°)
3.89045144994278e+002	(-1.85677385458955e-006dB,-2.73246198578069e-002°)
3.98107170553494e+002	(-1.90332510386252e-006dB,-2.79610919173260e-002°)
4.07380277804110e+002	(-1.95207024418756e-006dB,-2.86123893084694e-002°)
4.16869383470332e+002	(-2.00311267274506e-006dB,-2.92788573570611e-002°)
4.26579518801589e+002	(-2.05656065368151e-006dB,-2.99608494325605e-002°)
4.36515832240163e+002	(-2.11252755919180e-006dB,-3.06587271354198e-002°)
4.46683592150960e+002	(-2.17113210867305e-006dB,-3.13728604888057e-002°)
4.57088189614872e+002	(-2.23249859823507e-006dB,-3.21036281347868e-002°)
4.67735141287195e+002	(-2.29675720157119e-006dB,-3.28514175350904e-002°)
4.78630092322635e+002	(-2.36404422261279e-006dB,-3.36166251765351e-002°)
4.89778819368443e+002	(-2.43450237807799e-006dB,-3.43996567812485e-002°)
5.01187233627268e+002	(-2.50828112341519e-006dB,-3.52009275217814e-002°)
5.12861383991361e+002	(-2.58553695367418e-006dB,-3.60208622412322e-002°)
5.24807460249769e+002	(-2.66643373620010e-006dB,-3.68598956784981e-002°)
5.37031796370249e+002	(-2.75114306647142e-006dB,-3.77184726987732e-002°)
5.49540873857620e+002	(-2.83984462104496e-006dB,-3.85970485294152e-002°)
5.62341325190345e+002	(-2.93272655100290e-006dB,-3.94960890013050e-002°)
