Freq.	V(out)/V(in)
1.00000000000000e+000	(-1.10711850232519e+002dB,3.76025096977478e-001°)
1.02329299228075e+000	(-1.10311832896457e+002dB,3.84783081524034e-001°)
1.04712854805090e+000	(-1.09911814743455e+002dB,3.93745011019186e-001°)
1.07151930523761e+000	(-1.09511795735009e+002dB,4.02915632038110e-001°)
1.09647819614318e+000	(-1.09111775830871e+002dB,4.12299801439956e-001°)
1.12201845430196e+000	(-1.08711754988734e+002dB,4.21902488909903e-001°)
1.14815362149688e+000	(-1.08311733164478e+002dB,4.31728779577036e-001°)
1.17489755493953e+000	(-1.07911710311835e+002dB,4.41783876669794e-001°)
1.20226443461741e+000	(-1.07511686382306e+002dB,4.52073104247632e-001°)
1.23026877081238e+000	(-1.07111661325137e+002dB,4.62601909988676e-001°)
1.25892541179417e+000	(-1.06711635087232e+002dB,4.73375868039838e-001°)
1.28824955169313e+000	(-1.06311607612986e+002dB,4.84400681934233e-001°)
1.31825673855641e+000	(-1.05911578844143e+002dB,4.95682187569549e-001°)
1.34896288259165e+000	(-1.05511548719617e+002dB,5.07226356257413e-001°)
1.38038426460288e+000	(-1.05111517175704e+002dB,5.19039297845357e-001°)
1.41253754462275e+000	(-1.04711484145372e+002dB,5.31127263894858e-001°)
1.44543977074593e+000	(-1.04311449558665e+002dB,5.43496650945094e-001°)
1.47910838816821e+000	(-1.03911413342306e+002dB,5.56154003847857e-001°)
1.51356124843621e+000	(-1.03511375419467e+002dB,5.69106019162903e-001°)
1.54881661891248e+000	(-1.03111335709782e+002dB,5.82359548647663e-001°)
1.58489319246111e+000	(-1.02711294129005e+002dB,5.95921602810818e-001°)
1.62181009735893e+000	(-1.02311250589071e+002dB,6.09799354554814e-001°)
1.65958690743756e+000	(-1.01911204997701e+002dB,6.24000142890497e-001°)
1.69824365246174e+000	(-1.01511157258250e+002dB,6.38531476737122e-001°)
1.73780082874937e+000	(-1.01111107269555e+002dB,6.53401038805966e-001°)
1.77827941003892e+000	(-1.00711054925517e+002dB,6.68616689564998e-001°)
1.81970085860998e+000	(-1.00311000115457e+002dB,6.84186471309587e-001°)
