X,CH1,CH2,
719,0.000000e+00,0.000e-01,
720,0.000000e+00,1.5000e-01,
721,0.000000e+00,1.5000e-01,
722,0.000000e+00,1.5000e-01,
723,0.000000e+00,1.5000e-01,
724,0.000000e+00,1.7000e-01,
725,0.000000e+00,1.875000e-01,
726,1.875000e-01,0.000000e+00,
727,0.000000e+00,2.500000e-01,
728,2.500000e-01,6.250000e-02,
729,0.000000e+00,3.750000e-01,
730,2.500000e-01,2.500000e-01,
731,6.250000e-02,0.000000e+00,
732,2.500000e-01,6.250000e-02,
733,6.250000e-02,3.750000e-01,
734,1.250000e-01,3.125000e-01,
735,3.125000e-01,6.250000e-02,
736,3.125000e-01,6.250000e-02,
737,1.250000e-01,4.375000e-01,
738,1.250000e-01,1.250000e-01,
739,3.750000e-01,4.375000e-01,
740,1.875000e-01,1.250000e-01,
741,3.750000e-01,4.375000e-01,
742,3.750000e-01,1.250000e-01,
743,1.875000e-01,5.000000e-01,
744,4.375000e-01,1.250000e-01,
745,1.875000e-01,5.625000e-01,
746,4.375000e-01,2.500000e-01,
747,2.500000e-01,5.000000e-01,
748,2.500000e-01,1.875000e-01,
749,5.000000e-01,6.250000e-01,
750,3.125000e-01,2.500000e-01,
751,5.000000e-01,6.250000e-01,
752,3.125000e-01,3.125000e-01,
753,5.000000e-01,5.625000e-01,
754,5.000000e-01,3.125000e-01,
755,3.125000e-01,6.250000e-01,
756,3.750000e-01,3.125000e-01,
757,5.625000e-01,6.250000e-01,
758,5.625000e-01,3.750000e-01,
759,3.750000e-01,6.875000e-01,
760,6.250000e-01,3.125000e-01,
761,3.750000e-01,8.125000e-01,
762,6.250000e-01,4.375000e-01,
763,4.375000e-01,6.875000e-01,
764,6.875000e-01,3.750000e-01,
765,4.375000e-01,8.125000e-01,
766,6.875000e-01,4.375000e-01,
767,4.375000e-01,8.125000e-01,
768,6.875000e-01,5.000000e-01,
769,5.000000e-01,7.500000e-01,
770,5.625000e-01,7.500000e-01,
771,7.500000e-01,5.000000e-01,
772,7.500000e-01,5.000000e-01,
773,5.625000e-01,8.750000e-01,
774,5.625000e-01,5.000000e-01,
775,8.125000e-01,8.750000e-01,
776,8.125000e-01,5.625000e-01,
777,5.625000e-01,9.375000e-01,
778,8.125000e-01,5.625000e-01,
779,6.250000e-01,9.375000e-01,
780,8.750000e-01,6.250000e-01,
781,6.250000e-01,1.000000e+00,
782,6.875000e-01,6.250000e-01,
783,8.750000e-01,1.000000e+00,
784,6.875000e-01,5.625000e-01,
785,9.375000e-01,1.062500e+00,
786,7.500000e-01,9.375000e-01,
787,9.375000e-01,6.875000e-01,
788,9.375000e-01,6.875000e-01,
789,7.500000e-01,1.000000e+00,
790,7.500000e-01,6.875000e-01,
791,1.000000e+00,1.125000e+00,
792,8.125000e-01,7.500000e-01,
793,1.000000e+00,1.062500e+00,
794,1.000000e+00,7.500000e-01,
795,8.125000e-01,1.125000e+00,
796,8.750000e-01,7.500000e-01,
797,1.062500e+00,1.187500e+00,
798,1.062500e+00,8.125000e-01,
799,8.750000e-01,1.187500e+00,
800,1.125000e+00,8.125000e-01,
801,8.750000e-01,1.187500e+00,
802,9.375000e-01,8.750000e-01,
803,1.125000e+00,1.187500e+00,
804,9.375000e-01,8.750000e-01,
805,1.187500e+00,1.250000e+00,
806,1.000000e+00,8.750000e-01,
807,1.250000e+00,1.312500e+00,
808,1.187500e+00,9.375000e-01,
